sample	rep	unit	fq1	fq2
sample_M38	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M38-S715-S518_L001_ds.682937be284349b68ea21870f1d6aa25/M38_S77_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M38-S715-S518_L001_ds.682937be284349b68ea21870f1d6aa25/M38_S77_L001_R2_001.fastq.gz
sample_M39	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M39-S704-S585_L001_ds.c9b02d317c7f4c1c99e3864bd1481c60/M39_S78_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M39-S704-S585_L001_ds.c9b02d317c7f4c1c99e3864bd1481c60/M39_S78_L001_R2_001.fastq.gz
sample_M3	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M3-S774-S506_L001_ds.bcc78e447b4948ceab24fa5a143329be/M3_S43_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M3-S774-S506_L001_ds.bcc78e447b4948ceab24fa5a143329be/M3_S43_L001_R2_001.fastq.gz
sample_M40	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M40-S752-S544_L001_ds.f63f84cdea4540ef8b06d1df2efe9d2a/M40_S79_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M40-S752-S544_L001_ds.f63f84cdea4540ef8b06d1df2efe9d2a/M40_S79_L001_R2_001.fastq.gz
sample_M41	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M41-S769-S519_L001_ds.06fc4de3c4ae42f0b2767029cc5d980d/M41_S80_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M41-S769-S519_L001_ds.06fc4de3c4ae42f0b2767029cc5d980d/M41_S80_L001_R2_001.fastq.gz
sample_M42	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M42-S761-S533_L001_ds.9646bb2e9a564537817d4b62092877c1/M42_S81_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M42-S761-S533_L001_ds.9646bb2e9a564537817d4b62092877c1/M42_S81_L001_R2_001.fastq.gz
sample_M43	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M43-S780-S530_L001_ds.42c699a38a27455da5523602a323c371/M43_S82_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M43-S780-S530_L001_ds.42c699a38a27455da5523602a323c371/M43_S82_L001_R2_001.fastq.gz
sample_M44	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M44-S728-S582_L001_ds.2d6348e9a608417ba4f3570ff446dc88/M44_S83_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M44-S728-S582_L001_ds.2d6348e9a608417ba4f3570ff446dc88/M44_S83_L001_R2_001.fastq.gz
sample_M45	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M45-S737-S576_L001_ds.7ed10e4687aa42259479b60c07511b37/M45_S84_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M45-S737-S576_L001_ds.7ed10e4687aa42259479b60c07511b37/M45_S84_L001_R2_001.fastq.gz
sample_M47	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M47-S739-S503_L001_ds.aa11840167544646942133d8851e239d/M47_S85_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M47-S739-S503_L001_ds.aa11840167544646942133d8851e239d/M47_S85_L001_R2_001.fastq.gz
sample_M48	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M48-S788-S587_L001_ds.72fea738ea844bf08cbb92bec2a4b191/M48_S86_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M48-S788-S587_L001_ds.72fea738ea844bf08cbb92bec2a4b191/M48_S86_L001_R2_001.fastq.gz
sample_M49	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M49-S779-S589_L001_ds.072204b5f87347969b024255d3441770/M49_S87_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M49-S779-S589_L001_ds.072204b5f87347969b024255d3441770/M49_S87_L001_R2_001.fastq.gz
sample_M50	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M50-S771-S531_L001_ds.7603c4a4403a48539567effbc6f9293c/M50_S88_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M50-S771-S531_L001_ds.7603c4a4403a48539567effbc6f9293c/M50_S88_L001_R2_001.fastq.gz
sample_M51	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M51-S790-S594_L001_ds.6feca1ae03034666aa834648d39d11a4/M51_S89_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M51-S790-S594_L001_ds.6feca1ae03034666aa834648d39d11a4/M51_S89_L001_R2_001.fastq.gz
sample_M52	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M52-S724-S547_L001_ds.02725d4cf1114ebc91b2fc7418243bf6/M52_S90_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M52-S724-S547_L001_ds.02725d4cf1114ebc91b2fc7418243bf6/M52_S90_L001_R2_001.fastq.gz
sample_M53	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M53-S706-S574_L001_ds.e5e6394d2f6a4226b5814511ab7060c5/M53_S91_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M53-S706-S574_L001_ds.e5e6394d2f6a4226b5814511ab7060c5/M53_S91_L001_R2_001.fastq.gz
sample_M54	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M54-S750-S532_L001_ds.10c4fda2da6c4aba8ef362736566bcb3/M54_S92_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M54-S750-S532_L001_ds.10c4fda2da6c4aba8ef362736566bcb3/M54_S92_L001_R2_001.fastq.gz
sample_M55	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M55-S775-S509_L001_ds.fb96e9ddace440feb814e8310c3fc6a1/M55_S93_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M55-S775-S509_L001_ds.fb96e9ddace440feb814e8310c3fc6a1/M55_S93_L001_R2_001.fastq.gz
sample_M56	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M56-S743-S536_L001_ds.fc79778c81c44dba9bdad3cf9dac9ba0/M56_S94_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M56-S743-S536_L001_ds.fc79778c81c44dba9bdad3cf9dac9ba0/M56_S94_L001_R2_001.fastq.gz
sample_M57	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M57-S786-S513_L001_ds.c1152585387f41b1828060f5a08440ee/M57_S95_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M57-S786-S513_L001_ds.c1152585387f41b1828060f5a08440ee/M57_S95_L001_R2_001.fastq.gz
sample_M58	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M58-S712-S562_L001_ds.5344bf1a158e4a269d901eee8aa31ede/M58_S96_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M58-S712-S562_L001_ds.5344bf1a158e4a269d901eee8aa31ede/M58_S96_L001_R2_001.fastq.gz
sample_M59	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M59-S721-S508_L001_ds.8c3e67aea78c42cbaf84e99fda58ad99/M59_S97_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M59-S721-S508_L001_ds.8c3e67aea78c42cbaf84e99fda58ad99/M59_S97_L001_R2_001.fastq.gz
sample_M5	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M5-S732-S550_L001_ds.d8e61633e8274377ad082424050b126c/M5_S44_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M5-S732-S550_L001_ds.d8e61633e8274377ad082424050b126c/M5_S44_L001_R2_001.fastq.gz
sample_M60	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M60-S759-S516_L001_ds.84fc0236fef642b095e36f1434f17540/M60_S98_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M60-S759-S516_L001_ds.84fc0236fef642b095e36f1434f17540/M60_S98_L001_R2_001.fastq.gz
sample_M61	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M61-S711-S560_L001_ds.6e1f76a20a8a420db017a9cfdbb13043/M61_S99_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M61-S711-S560_L001_ds.6e1f76a20a8a420db017a9cfdbb13043/M61_S99_L001_R2_001.fastq.gz
sample_M62	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M62-S766-S555_L001_ds.efc3ec2ab14c4e8ab686962d4b0089e9/M62_S100_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M62-S766-S555_L001_ds.efc3ec2ab14c4e8ab686962d4b0089e9/M62_S100_L001_R2_001.fastq.gz
sample_M64	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M64-S738-S525_L001_ds.2869df545a3d4e68b6a2891262f8baf4/M64_S101_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M64-S738-S525_L001_ds.2869df545a3d4e68b6a2891262f8baf4/M64_S101_L001_R2_001.fastq.gz
sample_M66	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M66-S767-S572_L001_ds.1db70b03debd4cb0adde67910e6d5735/M66_S102_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M66-S767-S572_L001_ds.1db70b03debd4cb0adde67910e6d5735/M66_S102_L001_R2_001.fastq.gz
sample_M67	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M67-S726-S577_L001_ds.4114aa3281af43dbab5e5108146eaccf/M67_S103_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M67-S726-S577_L001_ds.4114aa3281af43dbab5e5108146eaccf/M67_S103_L001_R2_001.fastq.gz
sample_M68	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M68-S791-S529_L001_ds.543991151bab4846bb0a354ea67ffe76/M68_S104_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M68-S791-S529_L001_ds.543991151bab4846bb0a354ea67ffe76/M68_S104_L001_R2_001.fastq.gz
sample_M69	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M69-S740-S570_L001_ds.f829e8668ea0408bbe9b1b35f1c2014c/M69_S105_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M69-S740-S570_L001_ds.f829e8668ea0408bbe9b1b35f1c2014c/M69_S105_L001_R2_001.fastq.gz
sample_M6	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M6-S709-S575_L001_ds.1048e8ac775f424da1825d27e8594547/M6_S45_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M6-S709-S575_L001_ds.1048e8ac775f424da1825d27e8594547/M6_S45_L001_R2_001.fastq.gz
